visits,hits,pageviews,transactions,totalTransactionRevenue
2,39,30,1,45.7
4,37,26,1,110.69
1,35,32,1,17.95
2,20,17,1,32.12
4,46,37,1,65.39
10,113,81,2,980.86
4,45,33,1,193.97
3,46,32,1,218.34
1,15,11,1,117.79
4,30,22,1,129.3
2,30,26,1,484.82
1,13,11,1,578.93
2,18,14,1,77.1
1,27,24,1,50.49
2,24,18,1,32.0
4,67,54,1,78.96
7,92,59,1,193.43
1,11,10,1,731.26
5,77,54,2,821.41
6,61,41,1,100.45
5,131,87,2,5945.58
3,33,24,1,50.43
1,29,22,1,29.09
2,70,62,1,92.5
7,67,52,2,250.22
1,16,13,1,32.55
2,28,22,1,53.79
3,30,24,1,94.12
8,150,120,2,132.56
2,34,27,1,150.48
1,26,23,1,32.29
4,43,31,1,57.24
1,100,65,1,301.27
4,37,26,1,93.76
7,86,61,1,150.34
1,51,47,1,463.18
3,29,22,1,53.97
2,95,70,2,214.54
4,311,208,1,6.98
4,38,29,1,46.89
2,27,23,1,77.71
4,47,38,1,53.02
1,29,27,1,117.48
1,44,33,1,115.49
2,24,18,1,33.11
4,31,23,1,101.89
3,49,38,1,36.59
1,25,19,1,44.94
6,29,22,1,603.99
6,45,32,1,83.09
4,168,116,2,302.58
4,58,42,1,36.46
4,60,48,1,62.03
5,49,37,1,70.97
1,13,11,1,22.53
2,24,17,1,120.12
2,36,27,1,27.48
4,61,43,1,41.85
2,39,32,1,31.63
1,55,36,1,1513.9
1,31,22,1,97.35
10,127,91,2,255.53
2,56,42,1,108.68
2,19,14,1,47.37
9,66,47,2,464.53
9,69,49,1,388.21
4,46,38,1,102.41
2,32,26,1,37.3
4,30,21,1,79.36
1,20,17,1,49.55
2,24,20,1,86.98
1,6,6,1,28.01
3,27,20,1,98.86
3,27,18,1,23.47
3,37,30,1,111.27
1,33,28,1,46.85
3,81,61,1,38.78
8,111,78,2,268.55
1,18,15,1,29.24
5,39,31,1,389.8
6,83,64,1,1314.01
8,14,14,1,127.13
2,40,30,1,17.36
1,44,35,1,85.7
5,38,28,1,178.45
1,13,11,1,97.06
3,47,37,1,3.69
1,44,35,1,70.45
1,15,13,1,23.68
2,21,17,1,41.12
1,26,23,1,1590.34
2,23,19,1,64.34
3,15,14,1,51.43
1,31,26,1,27.49
2,39,28,1,79.25
2,32,23,1,697.42
1,23,17,1,14.47
5,72,52,1,402.46
1,28,21,1,138.29
1,24,22,1,39.89
3,55,47,1,33.63
3,105,67,1,8.16
8,84,58,1,294.42
1,48,32,1,2.49
3,40,30,1,33.47
1,10,10,1,21.94
2,31,25,1,308.88
1,55,40,1,48.21
1,15,13,1,31.82
4,72,56,1,64.05
2,53,46,1,131.53
4,59,42,1,60.67
2,45,36,1,11.48
2,109,102,2,316.55
8,14,14,1,239.65
1,21,17,1,22.93
2,40,30,1,32.08
2,30,25,2,75.1
9,47,36,1,113.48
5,39,29,1,372.34
1,17,15,1,83.51
1,47,34,1,116.01
5,50,38,1,145.39
7,89,70,4,463.3
1,32,26,1,23.17
4,53,37,1,158.36
1,37,31,1,99.69
8,149,86,1,223.35
1,26,23,1,16.89
1,15,12,1,8.49
1,16,13,1,31.0
2,33,25,1,54.48
7,73,52,2,134.77
5,35,24,1,93.49
2,50,40,1,15.07
3,24,23,1,21.98
8,72,46,1,167.48
5,37,27,1,109.22
1,38,32,1,1155.76
5,57,42,1,36.73
1,21,18,1,111.46
1,13,11,1,136.73
2,25,20,1,47.71
9,100,73,1,157.41
1,16,13,1,28.55
1,43,37,1,31.49
10,170,113,1,55.86
2,45,41,1,79.55
2,21,15,1,26.23
6,58,45,1,120.44
3,28,21,1,130.59
3,53,44,1,117.58
1,16,16,1,24.49
2,24,19,1,469.98
1,56,39,1,304.27
1,24,22,1,24.5
1,19,17,1,24.54
1,17,15,1,98.09
12,65,48,3,478.87
15,40,28,1,362.79
11,82,56,1,186.3
2,28,22,1,353.04
21,378,323,6,6239.58
1,19,17,1,182.67
23,500,431,6,9227.74
1,29,26,1,18.08
15,106,74,2,397.04
1,23,20,1,26.98
1,12,10,1,99.13
8,68,49,1,216.73
3,49,33,1,39.87
1,12,9,1,117.11
2,38,29,1,15.76
1,38,37,1,212.49
3,35,25,1,662.03
3,48,36,2,299.06
3,32,23,1,54.67
4,32,24,1,84.46
4,64,48,1,4087.5
2,20,16,1,43.83
4,85,71,1,1479.35
2,58,47,1,126.95
2,24,20,1,576.66
1,12,10,1,110.66
3,43,31,1,64.15
2,28,24,1,377.2
3,76,60,1,316.19
1,57,41,1,169.23
1,22,20,1,68.39
2,25,21,1,39.94
2,42,30,1,51.02
11,93,62,1,343.13
2,128,121,2,294.2
1,26,24,1,50.89
4,60,60,1,129.09
1,47,37,1,27.69
5,141,116,2,470.81
